Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
HDFC Retirement Savings Fund Equity Plan - Regular Plan    ,0,0,0,0,0,0,0,0,2.71,5000,yes,yes,17.108,502
SBI Focused Equity Fund    ,13.78,13.66,0.54,0.86,0.81,2.45,0,0,2.52,5000,yes,yes,140.2837,2964
DSP Equity Fund  ,11.25,16.09,0.3,0.48,1.08,-1.69,0,0,2.16,1000,yes,yes,40.148,2672
Parag Parikh Long Term Equity Fund - Regular Plan    ,13.24,11.5,0.59,0.76,0.68,2.71,0,0,2,1000,yes,yes,25.7038,1186
Axis Focused 25 Fund,16.54,15.4,0.66,0.94,1.02,3.92,0,0,2.47,5000,yes,yes,29.34,5499
HDFC Equity Fund    ,10.88,18.23,0.24,0.38,1.24,-3.01,0,0,1.97,5000,yes,yes,661.079,21754
IDFC Multi Cap Fund - Regular Plan  ,8.71,14.06,0.16,0.23,0.9,-3.16,0,0,2.12,10000,yes,yes,99.15,5678
IDBI Diversified Equity Fund - Regular Plan,8.01,12.28,0.13,0.2,0.78,-3.11,0,0,2.91,5000,yes,yes,21.87,372
1. UTI Nifty Fund – Direct,0.115,0.1379,0.37,0.59,0.99,-0.0025,1,5.11,0.0012,5000,yes,yes,76.2956,935.94
2. ICICI Prudential Nifty Next 50 Index Fund,0.1358,0.1584,0,0.45,0.95,0.0207,0.69,7.54,0.85,5000,yes,yes,27.6179,265.36
3. HDFC Index Fund – Sensex Plus Plan – Direct,0.1051,13.95,0.28,0.43,1.01,-0.0085,0.98,3.91,0.0075,1000,yes,yes,469.996,0
4. HDFC Index Fund – Nifty Plan – Direct,0.1148,0.1384,0.36,0.59,0.99,-0.0029,1,5.06,0.0015,5000,yes,yes,106.6339,435.89
5. HDFC Index Fund – Sensex Plan,0.1167,0.1383,0.38,0.6,0.99,-0.0007,0.99,5.29,0.003,5000,yes,yes,341.4192,244.04
ICICI Prudential Gilt Fund,8.26,6.59,0.28,0.51,1.17,1.1,0.95,1.55,0.009,1000,yes,yes,,
DSP Government Securities Fund,7.06,5.36,0.11,0.19,0.94,0.04,0.93,0.65,0.0139,1000,yes,yes,,
Kotak Gilt Investment - Regular Plan,6.91,5.9,0.08,0.14,1.05,-0.18,0.96,0.44,0.0144,1000,yes,yes,,
JM G-Sec Fund,6.96,5.78,0.09,0.18,1.01,-0.1,0.93,0.51,0,1000,no,yes,,
Cara Robeco Gilt 1988 Fund - Regular Plan,7.77,5.46,0.24,0.54,0.94,0.75,0.89,1.41,0.0125,1000,yes,yes,,
Aditya Birla Sun Life Government Securities Fund,8.27,6.23,0.29,0.48,1.1,1.16,0.93,2.14,0.0117,1000,yes,yes,,
Tata Gilt Securities Fund,5.69,5.06,-0.15,-0.24,0.88,-1.29,0.91,-0.86,0.014,1000,yes,yes,,
UTI Gilt Fund - Regular Plan,7.91,5,0.29,0.7,0.83,0.96,0.84,2.11,0.0093,1000,yes,yes,,
Edelweiss Government Securities Fund - Regular Plan,6.86,2.88,0.14,0.33,0.4,0.17,0.58,1.03,0.0137,1000,yes,yes,,
Franklin India Government Securities Fund,5.38,6.92,-0.15,-0.25,1.24,-1.82,0.96,-0.04,0.0174,1000,yes,yes,,
Franklin India Credit Risk Fund,7.94,1.44,1.04,1.18,2.07,6,0.12,0.72,0.0175,1000,yes,yes,,
BOI AXA Credit Risk Fund - Regular Plan,9.33,1.18,2.44,4.18,2.66,8.67,0.3,1.08,0.0212,1000,no,yes,,
HDFC Credit Risk Debt Fund - Regular Plan,8.59,1.39,1.55,2.6,3.27,9.25,0.31,0.45,0.0178,1000,yes,yes,,
DHFL Pramerica Credit Risk Fund - Regular Plan,7.86,1.39,1.02,1.33,3.45,8.92,0.37,0.41,0,1000,yes,yes,,
Invesco India Credit Risk Fund - Regular Plan,7.9,1.53,0.95,1.57,3.37,8.78,0.29,0.43,0.015,1000,yes,yes,,
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,8.39,1.72,1.13,1.61,3.3,9.11,0.22,0.59,0.0169,1000,yes,yes,,
ICICI Prudential Credit Risk Fund,7.52,1.49,0.72,1.11,3.08,7.77,0.25,0.35,0.0179,1000,yes,yes,,
UTI Credit Risk Fund - Regular Plan,7.59,1.32,0.87,1.67,3.22,8.15,0.36,0.35,0.0167,1000,yes,yes,,
Kotak Credit Risk Fund Regular Plan,7.79,1.54,0.87,1.29,3.4,8.73,0.29,0.4,0.0181,1000,yes,yes,,
Indiabulls Liquid Fund,7.15,0.21,3.41,7.11,0.51,1.82,0.36,1.39,0.0017,1000,yes,yes,,
Union Liquid Fund,6.9,0.19,2.4,7.03,0.37,1.27,0.23,1.21,0.0019,1000,no,yes,,
Quant Liquid Plan,7.16,0.24,2.99,7.59,0.46,1.72,0.22,1.56,0.009,1000,yes,yes,,
IDBI Liquid Fund,6.98,0.19,2.83,7.42,0.44,1.49,0.32,1.22,0.0025,1000,yes,yes,,
Essel Liquid Fund - Regular Plan,6.98,0.19,2.83,7.42,0.44,1.49,0.23,1.89,0.0025,1000,yes,yes,,
HSBC Cash Fund,7.02,0.19,3.05,6.01,0.34,1.32,0.2,1.68,0.0014,1000,yes,yes,,
Axis Liquid Fund,7.07,0.19,3.27,8.89,0.43,1.55,0.3,1.47,0.0016,1000,yes,yes,,
JM Liquid Fund,7.11,0.2,3.33,7.91,0.45,1.64,0.31,1.47,0,1000,yes,yes,,
DHFL Pramerica Insta Cash Fund,7.09,0.21,3.11,6.13,0.46,1.64,0.29,1.41,0.0018,1000,yes,yes,,
Invesco India Liquid Fund,7.06,0.2,3.12,7.18,0.46,1.62,0.32,1.34,0.0022,1000,no,yes,,
iCICI Prudential Bond Fund    ,6.91,3.08,0.15,0.25,1.27,0,0.86,1.05,0.0107,1000,yes,yes,,
Aditya Birla Sun Life Income Fund    ,6.37,5.52,-0.01,-0.02,2.35,0,0.96,-0.03,0.016,1000,yes,yes,,
Quant Income Fund,4.89,2.3,-0.68,-0.87,0.68,0,0.46,-2.28,0.0225,1000,yes,yes,,
Kotak Bond Fund - Regular Plan    ,6.03,5.17,-0.08,-0.13,2.2,0,0.96,-0.19,1.85,1000,yes,yes,,
Reliance Income Fund    ,6.47,4.97,0,0.01,2.12,0,0.97,0.01,1.56,1000,yes,yes,,
UTI Bond Fund - Regular Plan,7.11,4.52,0.15,0.31,1.85,0,0.32,0.79,1.72,1000,yes,yes,,
Cara Robeco Income Fund - Regular Plan,6.55,4.11,0.03,0.05,1.72,0,0.93,0.06,1.9,1000,yes,yes,,
LIC MF Bond Fund    ,5.55,3.62,-0.25,-0.41,1.53,0,0.94,-0.58,1.13,1000,yes,yes,,
IDFC Bond Fund Income Plan - Regular Plan   ,6.52,4.32,0.02,0.03,1.72,0,0.84,0.04,1.77,1000,yes,yes,,
Tata Income Fund - Regular Plan    ,6.21,3.7,-0.06,-0.11,1.54,0,0.91,-0.15,1.8,1000,yes,yes,,
JM Short Term Fund,6.99,1.82,0.3,0.45,4.22,9.72,0,0,0,1000,yes,yes,,
UTI Short Term Income Fund - Regular Plan,7.39,1.63,0.58,0.99,3.96,9.56,0.35,0.24,0.88,1000,yes,yes,,
HDFC Short Term Debt Fund    ,7.34,1.02,0.87,1.44,2.44,6.19,0.34,0.37,0.4,1000,yes,yes,,
Essel Short Term Fund,6.11,1.06,-0.32,-0.51,2.63,5.37,0.34,0.37,1.25,1000,yes,yes,,
Quant Short Term Debt Fund,7.22,0.31,2.48,3.78,0.76,2.42,0.26,0.27,1,1000,yes,yes,,
Franklin India Short Term Income Plan - Retail Plan   ,7.88,1.66,0.86,0.87,1.9,5.56,0.08,0.75,1.57,1000,yes,yes,,
L&T Short Term Bond Fund Fund    ,6.85,1.4,0.29,0.43,3.39,7.76,0.35,0.27,0.81,1000,yes,yes,,
Indiabulls Short Term Fund - Regular Plan,7.37,1.07,0.87,1.31,2.06,5.41,0.22,0.45,1.5,1000,yes,yes,,
Baroda Pioneer Short Term Bond Fund,7.78,0.83,1.61,3.11,1.66,4.95,0.24,0.81,1.3,1000,yes,yes,,
ICICI Prudential Short Term Fund    ,7.46,2.04,0.5,0.85,5.51,12.98,0.43,0.33,1.35,1000,yes,yes,,
Invesco India Money Market Fund    ,7.16,0.23,3.11,6.9,0.43,1.65,0,0,8.25,5000,yes,yes,2043.1067,886
JM Money Market Fund,6.83,0.43,0.9,1.66,1.19,2.98,0,0,8.09,5000,yes,yes,25.3168,29
Aditya Birla Sun Life Money Mager Fund    ,7.14,0.21,3.22,8.82,0.44,1.65,0,0,7.96,1000,yes,yes,238.3975,5327
UTI Money Market Fund - Regular Plan,7.08,0.21,3.08,9.02,0.44,1.6,0,0,7.86,10000,yes,yes,2000.4302,2341
Reliance Money Market Fund    ,7.04,0.22,2.72,6.31,0.47,1.62,0,0,7.77,5000,yes,yes,2688.6678,1340
L&T Money Market Fund    ,7.77,0.59,2.22,3.78,1.43,4.43,0,0,7.73,10000,yes,yes,R 17.6535,926
ICICI Prudential Money Market Fund    ,7.07,0.22,2.87,6.13,0.45,1.6,0,0,7.51,500,yes,yes,246.8999,4756
HDFC Money Market Fund    ,6.87,0.21,2.01,4.37,0.44,1.37,0,0,7.47,5000,yes,yes,3705.9681,3861
SBI Savings Fund    ,7.01,0.59,0.95,1.63,1.43,3.68,0,0,7.46,500,yes,yes,27.6746,3957
Franklin India Savings Fund - Retail Plan    ,7.33,0.49,1.8,2.65,1.33,3.77,0,0,7.42,1000,yes,yes,32.7045,471
Aditya Birla Sun Life Banking & Fincial Services Fund ,19.66,20.16,0.66,1.02,0.94,4.65,0.78,14.09,2.48,1000,yes,yes,30.54,1686
Tata Banking and Fincial Services Fund - Regular Plan    ,0,0,0,0,0,0,0,0,2.66,5000,yes,yes,18.2366,272
Reliance Banking Fund    ,15.54,17.96,0.51,0.78,0.9,0.88,0.88,15.69,2.13,5000,yes,yes,: R 289.2977,3044
Edelweiss Exchange Traded Fund-Nifty Bank    ,0,0,0,0,0,0,0,0,0.13,5000,yes,yes,2846.7184,1
ICICI Prudential Banking and Fincial Services Fund   ,17.48,19.26,0.57,0.97,0.93,2.5,0.83,15.17,2.13,5000,yes,yes,63.48,2756
Reliance ETF Bank BeES    ,15.19,18.92,0.46,0.7,1,-0.39,1,11.97,0.22,10000,yes,yes,2857.749,2870
Invesco India Fincial Services Fund    ,15.61,17.08,0.54,0.77,0.87,1.24,0.92,17.43,2.73,5000,yes,yes,31.75,129
UTI Banking and Fincial Services Fund - Regular Plan,18.27,17.55,0.68,1.02,0.91,0.56,0.88,12.97,2.38,5000,yes,yes,R 102.5755,707
SBI Banking & Fincial Services Fund - Regular Plan   ,23.85,16.58,1.05,1.62,0.85,6.98,0.84,20.61,2.87,5000,yes,yes,17.3851,567
Taurus Banking & Fincial Services Fund - Regular Plan,15.55,17.12,0.53,0.83,0.93,-2.37,0.96,11.13,2.81,5000,yes,yes,24.32,6
Reliance Pharma Fund    ,3.6,15.78,-0.18,-0.32,0.7,5.54,0.82,-2.72,2.47,5000,yes,yes,162.4234,2266
